id,name,type,projectId,displayName,projectName,projectKey,projectTypeKey,avatarURI,locationName
30,TC board,simple,10034,Tools Certifications (TC),Tools Certifications,TC,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10402?size=small,Tools Certifications (TC)
8,RZ board,simple,10011,Reiz Tech (RZ),Reiz Tech,RZ,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10409?size=small,Reiz Tech (RZ)
4,SOLAR board,simple,10003,Sorigin Solar (SOLAR),Sorigin Solar,SOLAR,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10405?size=small,Sorigin Solar (SOLAR)
31,SL board,simple,10035,Soha Living  (SL),Soha Living ,SL,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10425?size=small,Soha Living  (SL)
9,TFS board,simple,10012,TFS (TFS),TFS,TFS,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10401?size=small,TFS (TFS)
32,KAN board,simple,10037,Kanban (KAN),Kanban,KAN,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10410?size=small,Kanban (KAN)
7,ZING board,simple,10010,Zzzing (ZING),Zzzing,ZING,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10425?size=small,Zzzing (ZING)
11,WIND board,simple,10014,Sorigin Wind (SW),Sorigin Wind,SW,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10414?size=small,Sorigin Wind (SW)
12,MIT board,simple,10015,MITEL (MIT),MITEL,MIT,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10423?size=small,MITEL (MIT)
28,WFS board,simple,10032,WFS (Joe) (WFS),WFS (Joe),WFS,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10414?size=small,WFS (Joe) (WFS)
13,IM board,simple,10016,IMCORP (IM),IMCORP,IM,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10405?size=small,IMCORP (IM)
14,VC board,simple,10017,Vijay Construction (VC),Vijay Construction,VC,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=small,Vijay Construction (VC)
25,TEAM board,scrum,10029,BI Team (TEAM),BI Team,TEAM,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10411?size=small,BI Team (TEAM)
15,SAPA board,simple,10018,SAPA (SAPA),SAPA,SAPA,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10417?size=small,SAPA (SAPA)
16,WT board,simple,10019,World tech (WT),World tech,WT,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10422?size=small,World tech (WT)
17,QSP board,simple,10020,Qispine (QSP),Qispine,QSP,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404?size=small,Qispine (QSP)
18,BCX board,simple,10021,BullseyeCX (BCX),BullseyeCX,BCX,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10559?size=small,BullseyeCX (BCX)
33,COLIN board,simple,10038,BullseyeCX (Colin/Lewis) (COLIN),BullseyeCX (Colin/Lewis),COLIN,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406?size=small,BullseyeCX (Colin/Lewis) (COLIN)
20,VF board,simple,10023,Victory Family (VF),Victory Family,VF,software,https://scaleupbi.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10410?size=small,Victory Family (VF)
